user_id,imei,houseid_seq,cateid_seq,localid_seq,xq_seq,price_seq,area_seq,diff_time_seq,weight_seq,masks_seq,timestamp_seq,action_weight_seq,staytime_seq
1,000fff123698150149d99227d8dc90ed,"4054125915200514,3943481406778378,4054125915200514,4148062436060165,4148062436060165,4148062436060165,3943441959051272,4054125915200514,4127290002448398,4127290002448398,4177328867745801,4177328867745801,4168026736532481,4175015356361731,4177328867745801,4180780234693633,4164067928960007,4177328867745801,4063417952607234,4168026736532481,4148062436060165,4063417952607234","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11","33173,33173,33173,33173,33173,33173,33173,33173,29132,29132,29132,29132,29132,29132,29132,29132,29132,29132,29132,29132,33173,29132","105030110,105014392,105030110,105033288,105033288,105033288,105030110,105030110,0,0,0,0,0,0,0,0,0,0,0,0,105033288,0","2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2","1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,6,1,1,1,3,1,1","1339204,1315368,1315353,1252219,1252214,1252214,831231,830145,830134,830115,830106,830091,830080,475718,475680,475655,475636,302279,302270,302259,278423,278411","1.5295111346281236E-7,1.5295111346281236E-7,1.5295111346281236E-7,4.1576401383206604E-7,8.315280276641321E-7,8.315280276641321E-7,6.169728799311586E-5,6.169728799311586E-5,6.169728799311586E-5,1.2339457598623172E-4,6.169728799311586E-5,1.2339457598623172E-4,6.169728799311586E-5,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1753847245564,1753871081746,1753871095890,1753934229828,1753934235738,1753934235738,1754355218025,1754356304509,1754356315687,1754356334154,1754356343607,1754356357936,1754356369161,1754710730976,1754710769350,1754710794736,1754710813215,1754884169869,1754884178958,1754884190459,1754908026747,1754908038618","1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1","14431,8432,21391,6945,6945,6945,5373,5053,19453,19453,15496,15496,10246,12063,23486,9514,4541,4379,7079,12674,8028,1026111"
2,0015ab786800db7b7997660b1fe53130,"4174984007818250,4174771710516230,4057602805492747,4169246254734349,2522125651304461,4173696170552329,4173696170552329,4165232773241869,4129606928821248,3612916469539840,3612916469539840,4178250231393284,4178250231393284,4060789854887947,4174877122158594,2686244685831182,4158045992791041,4178250231393284,4170702275779599,4183902566309888,4183902566309888,4183902566309888","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","38439,31003,7634,7634,31003,38438,38438,38438,31003,7634,7634,7634,7634,38437,38439,38438,38438,7634,7634,38437,38437,38437","103246358,102256153,0,0,102265241,102259108,102259108,102259108,102240506,0,0,0,0,103157034,102236608,102258959,0,0,0,0,0,0","1,2,1,1,2,2,2,2,1,1,1,1,1,1,4,3,1,1,1,1,1,1","2,2,1,1,2,2,2,2,3,2,2,1,1,1,3,2,1,1,1,2,2,2","868678,868666,868660,868607,868595,868530,868488,868461,868444,488437,488427,488415,488405,488377,482125,481050,481038,329993,329968,329951,329942,329935","2.2698934351217197E-5,2.2698934351217197E-5,2.2698934351217197E-5,2.2698934351217197E-5,2.2698934351217197E-5,2.2698934351217197E-5,4.5397868702434395E-5,2.2698934351217197E-5,2.2698934351217197E-5,0.0033464254621424277,0.0066928509242848554,0.0033464254621424277,0.0066928509242848554,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.04742587317756678,0.02371293658878339","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754273064083,1754273075455,1754273081577,1754273134741,1754273146941,1754273211153,1754273253337,1754273280165,1754273297273,1754653304573,1754653314539,1754653326754,1754653336124,1754653364765,1754659617011,1754660691804,1754660704003,1754811748244,1754811773462,1754811790765,1754811799588,1754811806567","1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1","10024,4437,36198,5489,9039,43386,43386,12478,9236,11034,11034,10627,10627,12152,18583,4338,5003,3914,8566,9856,9856,10089"
3,002802f9407947994d82f91303d06c55,,,,,,,,,,,,
4,00484e2763acb64304c097b8b88091087c2a75ad,"4030324094197767,4030324094197767,4172308422208516,4172308422208516,4172308422208516,2434868992859148,4172308422208516,1578991352816649,4162348027309058,4169261235444751,4162400508320775,2635007149843467,4169261235444751,4173203719760902,4175217764686863,1405750264519695,4164087287098372,4178283007126542,4169261235444751,3121628449709069,4151173092023308,4162405046119425,4169261235444751,4171962718870537,4169410678844419,4111467968637953,2434868992859148,3558932294787083,3440444345196558,4180468398222337","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11","27766,27766,12575,12575,12575,12575,12575,27766,21635,27766,27766,12575,27766,12575,21635,21635,21635,21635,27766,27766,27766,27766,27766,12575,12573,12573,12575,12575,12575,12575","100715647,100715647,104603500,104603500,104603500,103997550,104603500,103979521,100636503,100715647,102035928,100636671,100715647,100636671,100636417,100636417,100636417,100636417,100715647,102035928,102035928,102035928,100715647,100636671,100713486,100713486,103997550,104603500,103997550,103997550","3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,1,3,3","2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,5,2,1,2,2","811208,811169,811104,811077,811066,796340,796296,773458,773380,773216,773207,719449,719319,719272,719206,719052,719019,718980,718932,718620,718589,718555,686625,686513,686496,681151,673781,671986,377947,377840","6.169728799311586E-5,1.2339457598623172E-4,6.169728799311586E-5,1.2339457598623172E-4,1.2339457598623172E-4,6.169728799311586E-5,6.169728799311586E-5,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,1.6767506523323905E-4,4.555255972003227E-4,4.555255972003227E-4,4.555255972003227E-4,4.555255972003227E-4,4.555255972003227E-4,4.555255972003227E-4,0.00899310498104578,0.00899310498104578","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754316162138,1754316200965,1754316266208,1754316292788,1754316303931,1754331029828,1754331074193,1754353911715,1754353989791,1754354154012,1754354163009,1754407920543,1754408050866,1754408097869,1754408163911,1754408317866,1754408350341,1754408390063,1754408437791,1754408749961,1754408780350,1754408815299,1754440744340,1754440856374,1754440874192,1754446218767,1754453589034,1754455383409,1754749422386,1754749529405","1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","39141,39141,37851,37851,37851,24947,32284,10282,4531,6006,18691,16790,13986,10508,28452,24252,14549,25768,8018,6418,16453,19544,10000,5609,59121,7500,13826,7638,52253,4749"
5,0070712cbf90eb0092a515076f722341622119b9,,,,,,,,,,,,
6,007195827e49f0942d5a76ceff55dd9a,"4137980792627212,4146356845879309,4068833871997958,4166500453933061,4170478398364678,4172286404517889,4157942067178505,4172086979534849,4160910952865805,4152203595586572,4177475650579458,4173294834822153,4111299694026765,4157992095652874,4061837747625987,4176547725058061,2163855593792524,4177551114955787,3526914841993221,4160810329205767,4179059084995584,4179282166705152","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","15772,4507,4507,8288,8288,8288,8288,8288,8288,8286,8286,12590,12590,12590,11477,12588,4518,4514,8295,8293,8293,8293","104681890,100394711,100412767,100415182,100401812,100401187,100417147,100417476,100417476,100415606,100415606,100396597,100401285,100401285,100401910,100413880,100581027,100415873,100398139,100417225,100396207,100560602","3,4,5,3,4,4,5,4,4,4,5,4,4,4,4,4,6,5,4,5,5,3","1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1","292351,292135,292048,291817,291686,291622,291445,291307,291225,291170,291141,290860,290762,290702,290501,289459,288909,288726,288677,287837,287724,287531","0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754461101269,1754461317175,1754461403988,1754461634944,1754461766822,1754461829942,1754462007639,1754462145495,1754462227873,1754462282288,1754462311407,1754462592405,1754462690341,1754462750881,1754462951711,1754463993568,1754464543020,1754464726025,1754464775095,1754465614943,1754465728210,1754465921509","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","16162,24883,4617,6965,7439,22418,4646,6974,8477,4758,9304,3707,6307,5135,3884,27615,4622,3696,6690,8083,5056,4794"
7,009ca002154bdd06b0a4a25b3d708dce12882e96,"4176145372258318,4159584478977024,4172498191966217,4172498191966217","11,11,11,11","31020,31020,35967,35967","102249897,102252024,102259405,102259405","5,4,5,5","3,3,3,3","436103,434851,301540,242140","0.0033464254621424277,0.0033464254621424277,0.02371293658878339,0.05960146101105877","1.0,1.0,1.0,1.0","1754701999270,1754703250668,1754836561353,1754895961948","1,1,1,1","24163,16404,36434,23402"
8,00aa189db86141fa253025f5131db3e20bf4c7ba,,,,,,,,,,,,
9,00be5503f420e8df3bf347651a4e64d7,,,,,,,,,,,,
10,00cf0c618ae4837e935de8cd4d97f767,,,,,,,,,,,,
